"Date","Windows","OS X","Unknown","Linux","Chrome OS","Other"
2019-01,75.47,12.33,9.41,1.61,1.17,0.01
2019-02,74.44,13.22,9.51,1.58,1.25,0
2019-03,79.46,14.35,3.2,1.7,1.28,0
2019-04,79.45,14.05,3.62,1.63,1.24,0.01
2019-05,78.91,13.89,4.3,1.55,1.35,0.01
2019-06,78.43,13.53,5.66,1.6,0.77,0.01
2019-07,77.61,13.17,7.03,1.65,0.54,0.01
2019-08,78.32,13.22,5.87,1.72,0.86,0
2019-09,79.1,14.37,3.31,1.74,1.48,0
2019-10,77.93,15.93,2.79,1.77,1.58,0
2019-11,77.25,16.73,2.65,1.82,1.54,0
2019-12,77.64,16.46,2.59,1.85,1.45,0
