"Date","Windows","OS X","Unknown","Linux","Chrome OS","Other"
2018-01,82.68,12.8,2.17,1.43,0.9,0.01
2018-02,82.55,12.37,2.61,1.45,1,0.01
2018-03,81.91,12.51,3.07,1.48,1.03,0.01
2018-04,81.73,13.18,2.45,1.66,0.98,0.01
2018-05,81.8,13.36,2.01,1.61,1.22,0.01
2018-06,82.45,12.98,2.09,1.69,0.78,0.01
2018-07,82.88,12.52,2.37,1.71,0.5,0.01
2018-08,82.51,12.65,2.48,1.69,0.66,0.01
2018-09,81.76,13.49,1.99,1.68,1.08,0.01
2018-10,78.04,13.73,5.44,1.64,1.15,0.01
2018-11,70.22,12.25,14.96,1.47,1.1,0.01
2018-12,76.17,12.33,8.46,1.69,1.35,0.01
