"Date","Windows","OS X","Unknown","Linux","Chrome OS","Other"
2020-01,77.7,17.04,1.83,1.9,1.52,0
2020-02,77.22,17.7,1.67,1.91,1.5,0
2020-03,77.1,18.34,1.61,1.71,1.24,0
2020-04,76.52,18.99,1.75,1.61,1.12,0
2020-05,77.04,18.38,1.83,1.68,1.06,0
2020-06,77.68,17.76,2.06,1.69,0.8,0
2020-07,77.74,17.07,2.67,1.85,0.67,0
2020-08,77.21,16.97,3.09,1.84,0.9,0
2020-09,77.12,17.57,2.05,1.73,1.52,0
2020-10,76.32,17.65,2.92,1.53,1.58,0
2020-11,73.21,16.54,6.51,1.8,1.92,0.01
2020-12,76.56,17.1,2.68,1.93,1.72,0.01
