"Date","Windows","OS X","Unknown","Linux","Chrome OS","Other"
2015-01,88.19,9.1,0.91,1.46,0.33,0.01
2015-02,88.08,9.09,0.94,1.55,0.34,0.01
2015-03,86.99,9.83,1,1.82,0.34,0.01
2015-04,87,9.61,1.12,1.91,0.35,0.01
2015-05,86.09,10.51,1.23,1.77,0.38,0.02
2015-06,86.3,10.17,1.46,1.77,0.29,0.02
2015-07,87.7,8.6,1.9,1.52,0.26,0.01
2015-08,88.07,8.18,1.94,1.5,0.3,0.01
2015-09,87.48,8.63,1.93,1.55,0.41,0.01
2015-10,86.44,9.02,2.51,1.57,0.46,0.01
2015-11,85.84,9.36,2.81,1.5,0.47,0.01
2015-12,84.89,9.8,3.31,1.48,0.51,0.01
