"Date","Windows","OS X","Unknown","Linux","Chrome OS","Other"
2021-01,76.26,16.91,3,1.91,1.91,0.01
2021-02,75.89,16.74,3.4,1.98,1.99,0.01
2021-03,75.56,16.48,3.9,1.97,2.09,0.01
2021-04,74.94,16.02,4.81,2.18,2.04,0.01
2021-05,73.54,15.87,5.93,2.38,2.27,0.01
2021-06,72.98,15.56,7.27,2.68,1.51,0.01
2021-07,73.04,15.43,7.93,2.38,1.21,0.01
2021-08,76.12,16.14,3.61,2.38,1.74,0.01
2021-09,75.4,15.93,3.74,2.33,2.59,0.01
2021-10,75.18,15.89,4.23,2.15,2.54,0.01
2021-11,74.28,16.04,4.99,2.08,2.6,0.01
2021-12,73.72,15.33,6.67,2.09,2.18,0.01
